[2026-01-06 14:27:11] [MockTrain] === Simulation Started ===
[2026-01-06 14:27:11] [MockTrain] Mode: NORMAL
[2026-01-06 14:27:11] [MockTrain] Task scheduled for 11 seconds.
[2026-01-06 14:27:16] [MockTrain] Visible GPU Devices: 0
[2026-01-06 14:27:16] [MockTrain] Attempting to allocate 4.0GB VRAM...
[2026-01-06 14:27:17] [MockTrain] SUCCESS: Allocated 4.0GB VRAM on GPU. Memory is now occupied.
[2026-01-06 14:27:17] [MockTrain] Tensor shape: torch.Size([1073741824]), Device: cuda:0
[2026-01-06 14:27:17] [MockTrain] Starting dummy computations to spike GPU utilization...

Training: 0/11s | Loss: 0.5897 | 12.5it/s
Training: 0/11s | Loss: 0.8879 | 12.5it/s
Training: 1/11s | Loss: 0.0196 | 12.5it/s
Training: 1/11s | Loss: 0.4967 | 12.5it/s
Training: 2/11s | Loss: 0.4162 | 12.5it/s
Training: 2/11s | Loss: 0.5982 | 12.5it/s
Training: 3/11s | Loss: 0.5009 | 12.5it/s
Training: 3/11s | Loss: 0.4209 | 12.5it/s
Training: 4/11s | Loss: 0.2107 | 12.5it/s
Training: 4/11s | Loss: 0.5375 | 12.5it/s
Training: 5/11s | Loss: 0.2457 | 12.5it/s
Training: 5/11s | Loss: 0.8217 | 12.5it/s
Training: 6/11s | Loss: 0.5544 | 12.5it/s
Training: 6/11s | Loss: 0.7427 | 12.5it/s
Training: 7/11s | Loss: 0.8560 | 12.5it/s
Training: 7/11s | Loss: 0.8439 | 12.5it/s
Training: 8/11s | Loss: 0.1071 | 12.5it/s
Training: 8/11s | Loss: 0.2190 | 12.5it/s
Training: 9/11s | Loss: 0.3942 | 12.5it/s
Training: 9/11s | Loss: 0.5947 | 12.5it/s
Training: 10/11s | Loss: 0.4771 | 12.5it/s
Training: 10/11s | Loss: 0.7062 | 12.5it/s
[2026-01-06 14:27:28] [MockTrain] Artifact saved to D:\Desktop\Develop\SelfProject\AutoTrainer\test\mock2\result.png
[2026-01-06 14:27:28] [MockTrain] Main process finished successfully.
